plot	type	id	true_y	Observer	measure
bar_1	bar	A	0.0000967	Victor	0.0000967
bar_1	bar	B	0.000042	Victor	0.000042
bar_1	bar	C	0.0000878	Victor	0.0000879
bar_2	bar	A	0.0000411	Victor	0.0000411
bar_2	bar	B	0.0000532	Victor	0.0000533
bar_2	bar	C	0.0000195	Victor	0.0000196
bar_2	bar	D	0.0000488	Victor	0.0000488
bar_3	bar	A	0.0000235	Victor	0.0000236
bar_3	bar	B	0.0000327	Victor	0.0000327
bar_3	bar	C	0.0000402	Victor	0.0000403
bar_3	bar	D	0.0000164	Victor	0.0000164
bar_3	bar	E	0.0000237	Victor	0.0000237
bar_3	bar	F	0.0000404	Victor	0.0000404
bar_4	bar	A	0.00000697	Victor	0.00000699
bar_4	bar	B	0.0000145	Victor	0.0000145
bar_4	bar	C	0.0000163	Victor	0.0000163
bar_4	bar	D	0.0000235	Victor	0.0000234
bar_5	bar	A	0.00000842	Victor	0.00000843
bar_5	bar	B	0.00000813	Victor	0.00000814
bar_5	bar	C	0.00000208	Victor	0.0000021
bar_5	bar	D	0.0000051	Victor	0.00000511
bar_5	bar	E	0.00000423	Victor	0.00000426
scatter_1	scatter	1	0.0000459	Victor	0.000046
scatter_1	scatter	2	0.0000646	Victor	0.0000648
scatter_1	scatter	3	0.0000977	Victor	0.0000979
scatter_1	scatter	4	0.000059	Victor	0.0000591
scatter_1	scatter	5	0.0000285	Victor	0.0000284
scatter_1	scatter	6	0.0000641	Victor	0.000064
scatter_1	scatter	7	0.000104	Victor	0.000103944
scatter_1	scatter	8	0.0000421	Victor	0.0000419
scatter_1	scatter	9	0.0000908	Victor	0.0000907
scatter_1	scatter	10	0.0000415	Victor	0.0000414
scatter_1	scatter	11	0.0000298	Victor	0.0000297
scatter_2	scatter	1	0.0000305	Victor	0.0000303
scatter_2	scatter	2	0.0000182	Victor	0.000018
scatter_2	scatter	3	0.0000275	Victor	0.0000274
scatter_2	scatter	4	0.00000912	Victor	0.00000906
scatter_2	scatter	5	0.0000718	Victor	0.0000716
scatter_2	scatter	6	0.0000595	Victor	0.0000594
scatter_2	scatter	7	0.0000135	Victor	0.0000133
scatter_2	scatter	8	0.0000637	Victor	0.0000634
scatter_2	scatter	9	0.0000435	Victor	0.0000432
scatter_2	scatter	10	0.000035	Victor	0.0000348
scatter_2	scatter	11	0.0000123	Victor	0.0000121
scatter_2	scatter	12	0.0000439	Victor	0.0000437
scatter_3	scatter	1	0.000027	Victor	0.000027
scatter_3	scatter	2	0.0000243	Victor	0.0000243
scatter_3	scatter	3	0.0000114	Victor	0.0000114
scatter_3	scatter	4	0.000011	Victor	0.000011
scatter_3	scatter	5	0.000025	Victor	0.0000249
scatter_3	scatter	6	0.0000426	Victor	0.0000424
scatter_3	scatter	7	0.0000184	Victor	0.0000184
scatter_3	scatter	8	0.0000125	Victor	0.0000124
scatter_3	scatter	9	0.0000158	Victor	0.0000158
scatter_3	scatter	10	0.0000262	Victor	0.0000261
scatter_3	scatter	11	0.00000586	Victor	0.00000578
scatter_3	scatter	12	0.000037	Victor	0.0000369
scatter_3	scatter	13	0.00000941	Victor	0.00000934
scatter_4	scatter	1	0.0000179	Victor	0.0000179
scatter_4	scatter	2	0.0000202	Victor	0.0000202
scatter_4	scatter	3	0.00000596	Victor	0.000006
scatter_4	scatter	4	0.0000105	Victor	0.0000105
scatter_4	scatter	5	0.0000257	Victor	0.0000256
scatter_4	scatter	6	0.000015	Victor	0.000015
scatter_4	scatter	7	0.00000625	Victor	0.0000063
scatter_4	scatter	8	0.0000239	Victor	0.0000238
scatter_4	scatter	9	0.00000792	Victor	0.00000795
scatter_4	scatter	10	0.0000252	Victor	0.0000252
scatter_4	scatter	11	0.0000243	Victor	0.0000242
scatter_4	scatter	12	0.00000627	Victor	0.00000627
scatter_5	scatter	1	0.00000209	Victor	0.00000209
scatter_5	scatter	2	0.00000808	Victor	0.00000806
scatter_5	scatter	3	0.00000369	Victor	0.0000037
scatter_5	scatter	4	0.00000355	Victor	0.00000355
scatter_5	scatter	5	0.00000423	Victor	0.00000424
scatter_5	scatter	6	0.00000483	Victor	0.00000481
scatter_5	scatter	7	0.00000394	Victor	0.00000393
scatter_5	scatter	8	0.00000473	Victor	0.00000471
scatter_5	scatter	9	0.0000014	Victor	0.00000139
scatter_5	scatter	10	0.0000025	Victor	0.00000249
scatter_5	scatter	11	0.00000886	Victor	0.00000882
bar_1	bar	A	0.0000967	Yanchao	0.0000966387
bar_1	bar	B	0.000042	Yanchao	0.0000420168
bar_1	bar	C	0.0000878	Yanchao	0.0000878151
bar_2	bar	A	0.0000411	Yanchao	0.0000411268
bar_2	bar	B	0.0000532	Yanchao	0.0000532394
bar_2	bar	C	0.0000195	Yanchao	0.0000194366
bar_2	bar	D	0.0000488	Yanchao	0.0000487324
bar_3	bar	A	0.0000235	Yanchao	0.0000236842
bar_3	bar	B	0.0000327	Yanchao	0.000032807
bar_3	bar	C	0.0000402	Yanchao	0.0000403509
bar_3	bar	D	0.0000164	Yanchao	0.0000164912
