Year,IDref
2022,2
2022,3
2021,4
2017,9
2009,15
2000,25
2006,26
2019,27
1981,32
1996,38
2016,36
1999,39
2022,46
1998,48
1993,50
2020,63
2011,68
2000,70
2017,72
2015,74
2019,91
2018,92
2005,93
2023,114
2013,121
2018,127
2019,128
2020,129
2020,130
2023,131
2024,132
2022,134
2011,138
2024,140
1996,145
2012,146
2010,147
2000,152
1989,159
2024,161
2023,162
2022,163
2023,164
1993,167
1995,168
2003,175
2021,179
2006,183
2005,184
2004,185
2004,186
1996,189
2008,196
2015,197
2020,203
2021,204
1976,212
2009,219
2006,228
2009,229
1993,232
2018,233
2007,236
1980,238
2006,242
2009,246
2016,247
2023,251
2020,253
2021,254
2004,269
2000,274
2002,279
2007,280
1983,282
1990,283
2012,303
2009,304
2022,307
2014,309
2018,315
1995,322
2007,330
2004,332
1990,344
2020,346
2005,348
2009,361
2012,368
2010,374
2004,382
2024,383
2012,392
2013,393
2018,394
2022,398
2016,400
2009,507
2011,510
2003,512
2011,520
2002,521
2005,526
2018,528
2018,530
1992,533
2004,537
2011,548
1996,557
2007,568
2022,587
2010,598
2011,599
1997,603
2014,608
2018,610
2010,611
2016,615
1990,619
1989,620
1990,622
2009,627
2021,636
2021,639
2008,645
2003,646
2025,648
2022,659
2021,776
2024,777
2020,779
2019,780
2011,782
1997,785
2015,787
2002,788
1984,789
2008,793
2000,803
1999,804
2001,805
2009,806
1999,810
1999,811
2024,814
1997,818
2006,825
2006,826
2020,828
2011,838
2022,850
2019,855
2007,866
1995,971
2019,978
2023,987
2017,994
2023,1000
2013,1002
2003,1004
2007,1007
2001,1021
2004,1023
2011,1028
2002,1035
2010,1043
2024,1045
2003,1055
1995,1071
1996,1072
2016,1075
2009,1077
2001,1078
2016,1079
2018,1102
1990,1124
2022,1135
2000,1167
2003,1168
2006,1172
2008,1173
2020,1182
2024,1187
2005,1189
2005,1190
1978,1194
1989,1200
2018,1206
2009,1209
2008,1210
2006,1211
2006,1212
2000,1221
2004,1225
2014,1232
2007,1235
2005,1236
2009,1237
2019,1238
2013,1239
2019,1240
2021,1241
2010,1248
2015,1264
2009,1265
2009,1269
1998,1271
1998,1272
2000,1273
1998,1279
2002,1291
2013,1292
2009,1298
2022,1304
2002,1307
2003,1308
2010,1311
2014,1313
2016,1315
2013,1319
2008,1321
2023,1322
2014,1328
2020,1334
2012,1335
2011,1336
2007,1340
1989,1343
2023,1348
2009,1350
2003,1363
2009,1366
2019,1384
2007,1391
2006,1393
2017,1394
2012,1395
1989,1396
2010,1398
1989,1401
1999,1402
2004,1406
2017,1419
2003,1420
2004,1421
1995,1431
2020,1433
2022,1435
2017,1437
2020,1439
2016,1440
2008,1442
2007,1443
2019,1444
2024,1446
2008,1447
1979,1449
1986,1456
2007,1457
2014,1463
1998,1470
1995,1471
1984,1474
2007,1476
2007,1477
2008,1478
2003,1485
2004,1486
2001,1491
2004,1492
2005,1494
2007,1497
2010,1499
2008,1508
2004,1527
2006,1532
2004,1540
2020,1543
2014,1547
2006,1548
2019,1555
2009,1576
2002,1577
2004,1578
2014,1588
2022,1596
2024,1597
2014,1598
2022,1612
2023,1615
2000,1617
2000,1618
1999,1619
2020,1620
2004,1622
2019,1624
2020,1632
2000,1633
2004,1635
1996,1636
1998,1639
1996,1641
2009,1644
2021,1645
2016,1649
2013,1653
2021,1655
2005,1658
1997,1661
2000,1662
2016,1665
2004,1666
2004,1672
2013,1674
2007,1688
2024,1692
2020,1693
1983,1708
1990,1711
1996,1712
2016,1714
2016,1717
2007,1733
2016,1740
2004,1741
2007,1742
2021,1746
2023,1762
2024,1763
1998,1768
2008,1777
2011,1778
2022,1786
2021,1788
2024,1790
2025,1793
2024,1797
2001,1799
2021,1801
2021,1802
2020,1808
2015,1813
2013,1816
2013,1823
2006,1831
2003,1832
2002,1833
2003,1834
2008,1837
2010,1838
1999,1841
2018,1845
2016,1848
2017,1849
2017,1855
2021,1857
2018,1860
2017,1861
2020,1866
2018,1869
2011,1870
2015,1873
2024,1874
2023,1875
2022,1876
2000,1877
1994,1881
2011,1885
2012,1886
2025,2001
2012,1594
2020,670
2009,679
1985,685
1991,694
2002,714
2001,715
2000,717
2009,729
2008,735
2013,737
2015,738
1970,744
2016,761
2008,404
1993,410
2005,415
2015,418
2012,419
2009,420
2009,421
2013,422
2000,427
2020,437
2018,438
1995,451
2017,462
1994,467
2002,471
2000,472
2005,482
2002,483
2013,487
2020,490
2021,496
2016,501
2024,872
2019,874
2016,876
2005,879
2022,883
2009,889
2020,903
2014,909
2003,920
2015,932
1995,939
2001,943
2002,944
2016,957
2014,960
2021,964
2008,2004
2006,10
2004,11
2003,24
2014,28
2014,43
1998,45
2005,52
2020,55
2014,67
2015,94
1999,107
2019,124
1986,155
1989,158
1987,160
1985,208
1996,272
2000,287
2010,423
2000,484
1984,579
1974,674
1999,713
1999,723
1998,731
2007,784
2000,813
1984,831
1981,844
1976,845
2013,890
1989,917
1991,918
1996,938
1996,950
2001,974
1997,975
1999,1051
1995,1052
1990,1053
1999,1070
1983,1197
2010,1202
1989,1359
1995,1365
1977,1380
1976,1407
1980,1408
2000,1413
1989,1430
2005,1493
1993,1556
2000,1558
2004,1579
1999,1637
1998,1638
1978,1726
1993,1755
2023,1756
1982,1757
2008,2005
