"","pl_species_original","pl_family","gbif_id","pl_species_corrected"
"1","Abies alba","Pinaceae","2685484","Abies alba"
"2","Abies balsamea","Pinaceae","2685383","Abies balsamea"
"3","Abies bornmulleriana","Pinaceae","2685552","Abies nordmanniana"
"4","Abies lasiocarpa","Pinaceae","2685313","Abies lasiocarpa"
"5","Acacia aneura","Fabaceae","2979331","Acacia aneura"
"6","Acacia dtepanolobium","Fabaceae","3974788","Vachellia drepanolobium"
"7","Acacia robusta","Fabaceae","8166188","Vachellia robusta"
"8","Acacia tortilis","Fabaceae","3974700","Vachellia tortilis"
"9","Acacia xanthophloea","Fabaceae","7403310","Vachellia xanthophloea"
"10","Acer amoenum","Sapindaceae","3189882","Acer palmatum"
"11","Acer campestre","Sapindaceae","3189863","Acer campestre"
"12","Acer grandidentatum Nutt.","Sapindaceae","7546232","Acer grandidentatum"
"13","Acer japonicum","Sapindaceae","3767816","Acer japonicum"
"14","Acer mono","Sapindaceae","7262911","Acer pictum"
"15","Acer platanoides","Sapindaceae","3189846","Acer platanoides"
"16","Acer pseudoplatanus","Sapindaceae","3189870","Acer pseudoplatanus"
"17","Acer rubrum","Sapindaceae","3189883","Acer rubrum"
"18","Acer rubrum L.","Sapindaceae","3189883","Acer rubrum"
"19","Acer saccharinum","Sapindaceae","3189837","Acer saccharinum"
"20","Acer sacharum","Sapindaceae","3189859","Acer saccharum"
"21","Actinidia chinensi","Actinidiaceae","3189694","Actinidia chinensis"
"22","Actinidia chinensis var. Chinensis","Actinidiaceae","3189694","Actinidia chinensis"
"23","Actinidia deliciosa","Actinidiaceae","3189694","Actinidia chinensis"
"24","Actinidia deliciosa var. deliciosa 'Hayward', with Actinidia chinensis Planch. var. chinensis ‘Hort16A’ scions","Actinidiaceae","3189694","Actinidia chinensis"
"25","Actinodaphne borneensis","Lauraceae","4178179","Actinodaphne borneensis"
"26","Adansonia rubrostipa","Malvaceae","5663140","Adansonia rubrostipa"
"27","Adansonia za","Malvaceae","5663122","Adansonia za"
"28","Adenanthos cygnorum","Proteaceae","7287327","Adenanthos cygnorum"
"29","Adiantum capillus-veneris","Pteridaceae","11072362","Adiantum capillus"
"30","Adiantum raddianum","Pteridaceae","2651826","Adiantum raddianum"
"31","Agathis australis","Araucariaceae","5284415","Agathis australis"
"32","Agathis borneensis","Araucariaceae","5284426","Agathis borneensis"
"33","Agave deserti","Asparagaceae","2767087","Agave deserti"
"34","Agrostistachys longifolia","Euphorbiaceae","7910309","Agrostistachys longifolia"
"35","Alchemilla mollis","Rosaceae","3028528","Alchemilla mollis"
"36","Alnus cordata","Betulaceae","2876607","Alnus cordata"
