"IDref","si_country","si_lat","si_long","si_altitude","si_site","si_treatment","pl_name","pl_species_original","pl_family","gbif_id","pl_species_corrected","pl_genus","pl_growth_form","pl_age_mean","pl_height_mean","pl_basal_area_mean","pl_DBH_mean","st_LAI","LAI_method","pl_LA_mean","pl_SA_mean","SA_method","pl_huber_value_mean","pl_devstage","pl_experimental_conditions","st_basal_area","st_density","soil_sand_perc","soil_silt_perc","soil_clay_perc","soil_om_perc","soil_bulk_density","soil_type","Date","wp_leaf_midday","wp_leaf_predawn","wp_soil","wp_soil_depth","wp_leaf_midday_standard_error","wp_leaf_predawn_standard_error","wp_soil_standard_error","deltaWP","WaterFlux","WaterFlux_standard_error","Flux_original_units","normalization_level","Aggregation","N","k_original","k_original_standard_error","k_original_units","k_plant_leaf","k_plant_sapwood","k_plant","k_plant_wood","k_plant_ground","k_method","Flux_method","SF_method","gs","E","VPD","CO2","P50","Pmin","TLP","Gsmax","Ks","Contributor","Reference_title","PaperDOI","Observations","source_file","file_path","volumetric_water_content"
"25","ESP",37.9,-1.1,NA,NA,"DOY 307 - irrigation","Apricot tree","Prunus armenica cv. Búlida","Rosaceae",3022698,"Prunus armenica","Prunus","tree",3,2,2e-4,1.5,NA,NA,NA,NA,NA,NA,"Sa","greenhouse",NA,NA,NA,NA,50,NA,NA,NA,"19971102",-1,-0.4,NA,NA,NA,NA,NA,0.6,3.1,NA,"mmol s-1","Plant","stand",3,5.167,NA,"mmol s-1 MPa-1",NA,NA,2.868e-4,1.623,NA,"Ratio","SF","CHP",0.118,NA,0.7,NA,"no","no","no","yes","no","Alice Gauthey","Sap flow as an indicator of transpiration and the water status of young apricot trees","10.1023/A:1026520111166","gs reported is maximum daily gs + midday water reported is minimum daily gs","25_Alarcon_2000_master.xlsx","data/Alice Gauthey/25_Alarcon_2000_master.xlsx",NA
"25","ESP",37.9,-1.1,NA,NA,"DOY 314 - 1 day water withold","Apricot tree","Prunus armenica cv. Búlida","Rosaceae",3022698,"Prunus armenica","Prunus","tree",3,2,2e-4,1.6,NA,NA,NA,NA,NA,NA,"Sa","greenhouse",NA,NA,NA,NA,50,NA,NA,NA,"19971109",-1.7,-0.5,NA,NA,NA,NA,NA,1.2,8.8,NA,"mmol s-1","Plant","stand",3,7.333,NA,"mmol s-1 MPa-1",NA,NA,4.071e-4,2.025,NA,"Ratio","SF","CHP",0.13,NA,1.2,NA,"no","no","no","yes","no","Alice Gauthey","Sap flow as an indicator of transpiration and the water status of young apricot trees","10.1023/A:1026520111166","gs reported is maximum daily gs + midday water reported is minimum daily gs","25_Alarcon_2000_master.xlsx","data/Alice Gauthey/25_Alarcon_2000_master.xlsx",NA
"25","ESP",37.9,-1.1,NA,NA,"DOY 317 - 4 days water withold","Apricot tree","Prunus armenica cv. Búlida","Rosaceae",3022698,"Prunus armenica","Prunus","tree",3,2,2e-4,1.7,NA,NA,NA,NA,NA,NA,"Sa","greenhouse",NA,NA,NA,NA,50,NA,NA,NA,"19971112",-2.7,-1.5,NA,NA,NA,NA,NA,1.2,1.4,NA,"mmol s-1","Plant","stand",3,1.167,NA,"mmol s-1 MPa-1",NA,NA,6.476e-5,0.2853,NA,"Ratio","SF","CHP",0.7,NA,1.14,NA,"no","no","no","yes","no","Alice Gauthey","Sap flow as an indicator of transpiration and the water status of young apricot trees","10.1023/A:1026520111166","gs reported is maximum daily gs + midday water reported is minimum daily gs","25_Alarcon_2000_master.xlsx","data/Alice Gauthey/25_Alarcon_2000_master.xlsx",NA
"25","ESP",37.9,-1.1,NA,NA,"DOY 318 -  re-irrigation","Apricot tree","Prunus armenica cv. Búlida","Rosaceae",3022698,"Prunus armenica","Prunus","tree",3,2,3e-4,1.8,NA,NA,NA,NA,NA,NA,"Sa","greenhouse",NA,NA,NA,NA,50,NA,NA,NA,"19971113",-3,-2.75,NA,NA,NA,NA,NA,0.25,5.5,NA,"mmol s-1","Plant","stand",3,22,NA,"mmol s-1 MPa-1",NA,NA,0.001221,4.799,NA,"Ratio","SF","CHP",0.015,NA,1.15,NA,"no","no","no","yes","no","Alice Gauthey","Sap flow as an indicator of transpiration and the water status of young apricot trees","10.1023/A:1026520111166","gs reported is maximum daily gs + midday water reported is minimum daily gs","25_Alarcon_2000_master.xlsx","data/Alice Gauthey/25_Alarcon_2000_master.xlsx",NA
"38",NA,NA,NA,NA,NA,"irrigated",NA,"Juglans regia","Juglandaceae",3054368,"Juglans regia","Juglans","tree",3,2,NA,NA,NA,NA,2,NA,NA,NA,"Sa","potted outdoors",NA,NA,NA,NA,NA,NA,NA,NA,"19900707",-0.62,-0.14,NA,NA,NA,NA,NA,0.48,0.057,NA,"g m-2 s-1","Sapwood","individual",1,0.1188,NA,"g m-2 s-1 MPa-1",NA,1.188e-4,NA,NA,NA,"Ratio","SF","SHB",NA,NA,NA,NA,"no","no","no","no","no","Alice Gauthey","Représentativité du potentiel de base sur sols à humidité hétérogène","10.1051/agro:1996080",NA,"38_Améglio_1996_master.xlsx","data/Alice Gauthey/38_Améglio_1996_master.xlsx",NA
"38",NA,NA,NA,NA,NA,"irrigated",NA,"Juglans regia","Juglandaceae",3054368,"Juglans regia","Juglans","tree",3,2,NA,NA,NA,NA,2,NA,NA,NA,"Sa","potted outdoors",NA,NA,NA,NA,NA,NA,NA,NA,"19900710",-0.93,-0.25,NA,NA,NA,NA,NA,0.68,0.06333,NA,"g m-2 s-1","Sapwood","individual",1,0.09314,NA,"g m-2 s-1 MPa-1",NA,9.314e-5,NA,NA,NA,"Ratio","SF","SHB",NA,NA,NA,NA,"no","no","no","no","no","Alice Gauthey","Représentativité du potentiel de base sur sols à humidité hétérogène","10.1051/agro:1996080",NA,"38_Améglio_1996_master.xlsx","data/Alice Gauthey/38_Améglio_1996_master.xlsx",NA
"38",NA,NA,NA,NA,NA,"irrigated",NA,"Juglans regia","Juglandaceae",3054368,"Juglans regia","Juglans","tree",3,2,NA,NA,NA,NA,2,NA,NA,NA,"Sa","potted outdoors",NA,NA,NA,NA,NA,NA,NA,NA,"19900711",-0.74,-0.35,NA,NA,NA,NA,NA,0.39,0.06283,NA,"g m-2 s-1","Sapwood","individual",1,0.1611,NA,"g m-2 s-1 MPa-1",NA,1.611e-4,NA,NA,NA,"Ratio","SF","SHB",NA,NA,NA,NA,"no","no","no","no","no","Alice Gauthey","Représentativité du potentiel de base sur sols à humidité hétérogène","10.1051/agro:1996080",NA,"38_Améglio_1996_master.xlsx","data/Alice Gauthey/38_Améglio_1996_master.xlsx",NA
"38",NA,NA,NA,NA,NA,"irrigated",NA,"Juglans regia","Juglandaceae",3054368,"Juglans regia","Juglans","tree",3,2,NA,NA,NA,NA,2,NA,NA,NA,"Sa","potted outdoors",NA,NA,NA,NA,NA,NA,NA,NA,"19900712",-0.82,-0.31,NA,NA,NA,NA,NA,0.51,0.07917,NA,"g m-2 s-1","Sapwood","individual",1,0.1552,NA,"g m-2 s-1 MPa-1",NA,1.552e-4,NA,NA,NA,"Ratio","SF","SHB",NA,NA,NA,NA,"no","no","no","no","no","Alice Gauthey","Représentativité du potentiel de base sur sols à humidité hétérogène","10.1051/agro:1996080",NA,"38_Améglio_1996_master.xlsx","data/Alice Gauthey/38_Améglio_1996_master.xlsx",NA
"38",NA,NA,NA,NA,NA,"irrigated",NA,"Juglans regia","Juglandaceae",3054368,"Juglans regia","Juglans","tree",3,2,NA,NA,NA,NA,2,NA,NA,NA,"Sa","potted outdoors",NA,NA,NA,NA,NA,NA,NA,NA,"19900713",-0.82,-0.22,NA,NA,NA,NA,NA,0.6,0.09933,NA,"g m-2 s-1","Sapwood","individual",1,0.1656,NA,"g m-2 s-1 MPa-1",NA,1.656e-4,NA,NA,NA,"Ratio","SF","SHB",NA,NA,NA,NA,"no","no","no","no","no","Alice Gauthey","Représentativité du potentiel de base sur sols à humidité hétérogène","10.1051/agro:1996080",NA,"38_Améglio_1996_master.xlsx","data/Alice Gauthey/38_Améglio_1996_master.xlsx",NA
"38",NA,NA,NA,NA,NA,"drought",NA,"Juglans regia","Juglandaceae",3054368,"Juglans regia","Juglans","tree",3,2,NA,NA,NA,NA,2,NA,NA,NA,"Sa","potted outdoors",NA,NA,NA,NA,NA,NA,NA,NA,"19900707",-0.82,-0.28,NA,NA,NA,NA,NA,0.54,0.05033,NA,"g m-2 s-1","Sapwood","individual",1,0.09321,NA,"g m-2 s-1 MPa-1",NA,9.321e-5,NA,NA,NA,"Ratio","SF","SHB",NA,NA,NA,NA,"no","no","no","no","no","Alice Gauthey","Représentativité du potentiel de base sur sols à humidité hétérogène","10.1051/agro:1996080",NA,"38_Améglio_1996_master.xlsx","data/Alice Gauthey/38_Améglio_1996_master.xlsx",NA
"38",NA,NA,NA,NA,NA,"drought",NA,"Juglans regia","Juglandaceae",3054368,"Juglans regia","Juglans","tree",3,2,NA,NA,NA,NA,2,NA,NA,NA,"Sa","potted outdoors",NA,NA,NA,NA,NA,NA,NA,NA,"19900710",-1.49,-0.69,NA,NA,NA,NA,NA,0.8,0.0165,NA,"g m-2 s-1","Sapwood","individual",1,0.02062,NA,"g m-2 s-1 MPa-1",NA,2.062e-5,NA,NA,NA,"Ratio","SF","SHB",NA,NA,NA,NA,"no","no","no","no","no","Alice Gauthey","Représentativité du potentiel de base sur sols à humidité hétérogène","10.1051/agro:1996080",NA,"38_Améglio_1996_master.xlsx","data/Alice Gauthey/38_Améglio_1996_master.xlsx",NA
"38",NA,NA,NA,NA,NA,"drought",NA,"Juglans regia","Juglandaceae",3054368,"Juglans regia","Juglans","tree",3,2,NA,NA,NA,NA,2,NA,NA,NA,"Sa","potted outdoors",NA,NA,NA,NA,NA,NA,NA,NA,"19900711",-1.46,-1,NA,NA,NA,NA,NA,0.46,0.009,NA,"g m-2 s-1","Sapwood","individual",1,0.01957,NA,"g m-2 s-1 MPa-1",NA,1.957e-5,NA,NA,NA,"Ratio","SF","SHB",NA,NA,NA,NA,"no","no","no","no","no","Alice Gauthey","Représentativité du potentiel de base sur sols à humidité hétérogène","10.1051/agro:1996080",NA,"38_Améglio_1996_master.xlsx","data/Alice Gauthey/38_Améglio_1996_master.xlsx",NA
"38",NA,NA,NA,NA,NA,"drought",NA,"Juglans regia","Juglandaceae",3054368,"Juglans regia","Juglans","tree",3,2,NA,NA,NA,NA,2,NA,NA,NA,"Sa","potted outdoors",NA,NA,NA,NA,NA,NA,NA,NA,"19900712",-1.52,-1.05,NA,NA,NA,NA,NA,0.47,0.005167,NA,"g m-2 s-1","Sapwood","individual",1,0.01099,NA,"g m-2 s-1 MPa-1",NA,1.099e-5,NA,NA,NA,"Ratio","SF","SHB",NA,NA,NA,NA,"no","no","no","no","no","Alice Gauthey","Représentativité du potentiel de base sur sols à humidité hétérogène","10.1051/agro:1996080",NA,"38_Améglio_1996_master.xlsx","data/Alice Gauthey/38_Améglio_1996_master.xlsx",NA
