IDref,Included,si_country,si_lat,si_long,si_altitude,si_site,si_treatment,pl_name,pl_species_original,pl_family,gbif_id,pl_species_corrected,pl_growth_form,pl_age_mean,pl_height_mean,pl_basal_area,pl_DBH,st_LAI,LAI_method,pl_LA,pl_SA,SA_method,pl_huber_value,pl_devstage,pl_experimental_conditions,st_basal_area,st_density,soil_sand_perc,soil_silt_perc,soil_clay_perc,soil_om_perc,soil_bulk_density,soil_type,Date,wp_leaf_midday,wp_leaf_predawn,wp_soil,wp_soil_depth,wp_leaf_midday_standard_error,wp_leaf_predawn_standard_error,wp_soil_standard_error,deltaWP,WaterFlux,WaterFlux_standard_error,Flux_original_units,Level,Aggregation,N,K_original,K_original_standard_error,K_original_units,Kleaf,Ksapwood,Kplant,Kwood,Kground,Kmethod,Flux_method,SF_method,gs,E,VPD,CO2,P50,Pmin,TLP,Gsmax,Ks,Contributor,Reference_title,PaperDOI,Observations,source_file,file_path,volumetric_water_content
25,yes,ESP,37.9,-1.1,NA,NA,DOY 307 - irrigation,Apricot tree,Prunus armenica cv. Búlida,Rosaceae,3022698,Prunus armenica,T,3,2,1.76714586764426e-4,1.5,NA,NA,NA,NA,NA,NA,Sa,greenhouse,NA,NA,NA,NA,50,NA,NA,NA,19971102,-1,-0.4,NA,NA,NA,NA,NA,0.6,3.1,NA,mmol s-1,Plant,stand,3,5.16666666666667,NA,mmol s-1 MPa-1,NA,NA,2.86798038671478e-4,1.62294490750671,NA,Ratio,SF,CHP,0.118,NA,0.7,NA,NA,NA,NA,NA,NA,Alice Gauthey,Sap flow as an indicator of transpiration and the water status of young apricot trees,10.1023/A:1026520111166,gs reported is maximum daily gs + midday water reported is minimum daily gs,25_Alarcon_2000_master.xlsx,data/Alice Gauthey/25_Alarcon_2000_master.xlsx,NA
25,yes,ESP,37.9,-1.1,NA,NA,DOY 314 - 1 day water withold,Apricot tree,Prunus armenica cv. Búlida,Rosaceae,3022698,Prunus armenica,T,3,2,2.01061929829747e-4,1.6,NA,NA,NA,NA,NA,NA,Sa,greenhouse,NA,NA,NA,NA,50,NA,NA,NA,19971109,-1.7,-0.5,NA,NA,NA,NA,NA,1.2,8.8,NA,mmol s-1,Plant,stand,3,7.33333333333333,NA,mmol s-1 MPa-1,NA,NA,4.07068183920807e-4,2.02459105145116,NA,Ratio,SF,CHP,0.13,NA,1.2,NA,NA,NA,NA,NA,NA,Alice Gauthey,Sap flow as an indicator of transpiration and the water status of young apricot trees,10.1023/A:1026520111166,gs reported is maximum daily gs + midday water reported is minimum daily gs,25_Alarcon_2000_master.xlsx,data/Alice Gauthey/25_Alarcon_2000_master.xlsx,NA
25,yes,ESP,37.9,-1.1,NA,NA,DOY 317 - 4 days water withold,Apricot tree,Prunus armenica cv. Búlida,Rosaceae,3022698,Prunus armenica,T,3,2,2.26980069221863e-4,1.7,NA,NA,NA,NA,NA,NA,Sa,greenhouse,NA,NA,NA,NA,50,NA,NA,NA,19971112,-2.7,-1.5,NA,NA,NA,NA,NA,1.2,1.4,NA,mmol s-1,Plant,stand,3,1.16666666666667,NA,mmol s-1 MPa-1,NA,NA,6.47608474419465e-5,0.285315127728883,NA,Ratio,SF,CHP,0.7,NA,1.14,NA,NA,NA,NA,NA,NA,Alice Gauthey,Sap flow as an indicator of transpiration and the water status of young apricot trees,10.1023/A:1026520111166,gs reported is maximum daily gs + midday water reported is minimum daily gs,25_Alarcon_2000_master.xlsx,data/Alice Gauthey/25_Alarcon_2000_master.xlsx,NA
25,yes,ESP,37.9,-1.1,NA,NA,DOY 318 -  re-irrigation,Apricot tree,Prunus armenica cv. Búlida,Rosaceae,3022698,Prunus armenica,T,3,2,2.54469004940773e-4,1.8,NA,NA,NA,NA,NA,NA,Sa,greenhouse,NA,NA,NA,NA,50,NA,NA,NA,19971113,-3,-2.75,NA,NA,NA,NA,NA,0.25,5.5,NA,mmol s-1,Plant,stand,3,22,NA,mmol s-1 MPa-1,NA,NA,0.00122120455176242,4.79903064047683,NA,Ratio,SF,CHP,0.015,NA,1.15,NA,NA,NA,NA,NA,NA,Alice Gauthey,Sap flow as an indicator of transpiration and the water status of young apricot trees,10.1023/A:1026520111166,gs reported is maximum daily gs + midday water reported is minimum daily gs,25_Alarcon_2000_master.xlsx,data/Alice Gauthey/25_Alarcon_2000_master.xlsx,NA
38,yes,NA,NA,NA,NA,NA,irrigated,NA,Juglans regia,Juglandaceae,3054368,Juglans regia,T,3,2,NA,NA,NA,NA,2,NA,NA,NA,Sa,potted,NA,NA,NA,NA,NA,NA,NA,NA,19900707,-0.62,-0.14,NA,NA,NA,NA,NA,0.48,0.057,NA,g m-2 s-1,Sapwood,individual,1,0.11875,NA,g m-2 s-1 MPa-1,NA,1.1875e-4,NA,NA,NA,Ratio,SF,SHB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alice Gauthey,Représentativité du potentiel de base sur sols à humidité hétérogène,10.1051/agro:1996080,NA,38_Améglio_1996_master.xlsx,data/Alice Gauthey/38_Améglio_1996_master.xlsx,NA
38,yes,NA,NA,NA,NA,NA,irrigated,NA,Juglans regia,Juglandaceae,3054368,Juglans regia,T,3,2,NA,NA,NA,NA,2,NA,NA,NA,Sa,potted,NA,NA,NA,NA,NA,NA,NA,NA,19900710,-0.93,-0.25,NA,NA,NA,NA,NA,0.68,0.0633333333333333,NA,g m-2 s-1,Sapwood,individual,1,0.0931372549019607,NA,g m-2 s-1 MPa-1,NA,9.31372549019607e-5,NA,NA,NA,Ratio,SF,SHB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alice Gauthey,Représentativité du potentiel de base sur sols à humidité hétérogène,10.1051/agro:1996080,NA,38_Améglio_1996_master.xlsx,data/Alice Gauthey/38_Améglio_1996_master.xlsx,NA
38,yes,NA,NA,NA,NA,NA,irrigated,NA,Juglans regia,Juglandaceae,3054368,Juglans regia,T,3,2,NA,NA,NA,NA,2,NA,NA,NA,Sa,potted,NA,NA,NA,NA,NA,NA,NA,NA,19900711,-0.74,-0.35,NA,NA,NA,NA,NA,0.39,0.0628333333333333,NA,g m-2 s-1,Sapwood,individual,1,0.161111111111111,NA,g m-2 s-1 MPa-1,NA,1.61111111111111e-4,NA,NA,NA,Ratio,SF,SHB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alice Gauthey,Représentativité du potentiel de base sur sols à humidité hétérogène,10.1051/agro:1996080,NA,38_Améglio_1996_master.xlsx,data/Alice Gauthey/38_Améglio_1996_master.xlsx,NA
38,yes,NA,NA,NA,NA,NA,irrigated,NA,Juglans regia,Juglandaceae,3054368,Juglans regia,T,3,2,NA,NA,NA,NA,2,NA,NA,NA,Sa,potted,NA,NA,NA,NA,NA,NA,NA,NA,19900712,-0.82,-0.31,NA,NA,NA,NA,NA,0.51,0.0791666666666667,NA,g m-2 s-1,Sapwood,individual,1,0.155228758169935,NA,g m-2 s-1 MPa-1,NA,1.55228758169935e-4,NA,NA,NA,Ratio,SF,SHB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alice Gauthey,Représentativité du potentiel de base sur sols à humidité hétérogène,10.1051/agro:1996080,NA,38_Améglio_1996_master.xlsx,data/Alice Gauthey/38_Améglio_1996_master.xlsx,NA
38,yes,NA,NA,NA,NA,NA,irrigated,NA,Juglans regia,Juglandaceae,3054368,Juglans regia,T,3,2,NA,NA,NA,NA,2,NA,NA,NA,Sa,potted,NA,NA,NA,NA,NA,NA,NA,NA,19900713,-0.82,-0.22,NA,NA,NA,NA,NA,0.6,0.0993333333333333,NA,g m-2 s-1,Sapwood,individual,1,0.165555555555556,NA,g m-2 s-1 MPa-1,NA,1.65555555555556e-4,NA,NA,NA,Ratio,SF,SHB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alice Gauthey,Représentativité du potentiel de base sur sols à humidité hétérogène,10.1051/agro:1996080,NA,38_Améglio_1996_master.xlsx,data/Alice Gauthey/38_Améglio_1996_master.xlsx,NA
38,yes,NA,NA,NA,NA,NA,drought,NA,Juglans regia,Juglandaceae,3054368,Juglans regia,T,3,2,NA,NA,NA,NA,2,NA,NA,NA,Sa,potted,NA,NA,NA,NA,NA,NA,NA,NA,19900707,-0.82,-0.28,NA,NA,NA,NA,NA,0.54,0.0503333333333333,NA,g m-2 s-1,Sapwood,individual,1,0.0932098765432098,NA,g m-2 s-1 MPa-1,NA,9.32098765432098e-5,NA,NA,NA,Ratio,SF,SHB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alice Gauthey,Représentativité du potentiel de base sur sols à humidité hétérogène,10.1051/agro:1996080,NA,38_Améglio_1996_master.xlsx,data/Alice Gauthey/38_Améglio_1996_master.xlsx,NA
